netflix_original_title,netflix_title,season_name,netflix_episode_title,expected_type,title,year,source_id,episode_title,found_source,had_override
Chosen: The Fact That Meteors Are Made of Glass Is Pretty Crazy!,Chosen,,The Fact That Meteors Are Made of Glass Is Pretty Crazy!,series,Chosen,2013,tt2390334,,imdb,yes
Chosen: You Hold It with Your Fingers. You Eat It with Your Mouth,Chosen,,You Hold It with Your Fingers. You Eat It with Your Mouth,series,Chosen,2013,tt2390334,,imdb,yes
Chosen: You Still Want Everything to Be About You,Chosen,,You Still Want Everything to Be About You,series,Chosen,2013,tt2390334,,imdb,yes
Cowboy Bebop: Binary Two-Step,Cowboy Bebop,,Binary Two-Step,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Blue Crow Waltz,Cowboy Bebop,,Blue Crow Waltz,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Callisto Soul,Cowboy Bebop,,Callisto Soul,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Darkside Tango,Cowboy Bebop,,Darkside Tango,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Dog Star Swing,Cowboy Bebop,,Dog Star Swing,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Galileo Hustle,Cowboy Bebop,,Galileo Hustle,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Sad Clown A-Go-Go,Cowboy Bebop,,Sad Clown A-Go-Go,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Supernova Symphony,Cowboy Bebop,,Supernova Symphony,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Cowboy Bebop: Venus Pop,Cowboy Bebop,,Venus Pop,series,Cowboy Bebop,1998,tt0213338,,anime+imdb,yes
Daybreak: Canta Tu Vida,Daybreak,,Canta Tu Vida,series,,,,,,
Daybreak: Homecoming Redux or My So Called Stunt Double Life,Daybreak,,Homecoming Redux or My So Called Stunt Double Life,series,,,,,,
Daybreak: Josh vs. the Apocalypse: Part 1,Daybreak,,Josh vs. the Apocalypse: Part 1,series,Daybreak: Josh vs. the Apocalypse,,,,,
Daybreak: Josh vs. the Apocalypse: Part 2,Daybreak,,Josh vs. the Apocalypse: Part 2,series,Daybreak: Josh vs. the Apocalypse,,,,,
"Daybreak: The Slime Queenpin of Glendale, CA",Daybreak,,"The Slime Queenpin of Glendale, CA",series,,,,,,
Deadwind: Season 1: Do-Gooder,Deadwind,Season 1,Do-Gooder,series,Deadwind,2018,tt6616260,,imdb,yes
Deadwind: Season 1: Good Samaritans,Deadwind,Season 1,Good Samaritans,series,Deadwind,2018,tt6616260,,imdb,yes
Delicious in Dungeon: Episode 16: Cleaners/Dried with Sweet Sake,Delicious in Dungeon,,Cleaners/Dried with Sweet Sake,series,,,,,imdb,
Delicious in Dungeon: Episode 6: Court Cuisine/Boiled in Salt Water,Delicious in Dungeon,,Court Cuisine/Boiled in Salt Water,series,,,,,imdb,
Delicious in Dungeon: Episode 15: Dryad/Cockatrice,Delicious in Dungeon,,Dryad/Cockatrice,series,,,,,imdb,
Delicious in Dungeon: Episode 24: Dumplings -2-/Bacon and Eggs,Delicious in Dungeon,,Dumplings -2-/Bacon and Eggs,series,,,,,imdb,
Delicious in Dungeon: Episode 21: Egg/The Golden Country,Delicious in Dungeon,,Egg/The Golden Country,series,,,,,imdb,
Delicious in Dungeon: Episode 10: Giant Frogs/Aboveground,Delicious in Dungeon,,Giant Frogs/Aboveground,series,,,,,imdb,
Delicious in Dungeon: Episode 23: Griffin Soup/Dumplings -1-,Delicious in Dungeon,,Griffin Soup/Dumplings -1-,series,,,,,imdb,
Delicious in Dungeon: Episode 22: Griffin/Familiars,Delicious in Dungeon,,Griffin/Familiars,series,,,,,imdb,
Delicious in Dungeon: Episode 19: Hag/Nightmare,Delicious in Dungeon,,Hag/Nightmare,series,,,,,imdb,
Delicious in Dungeon: Episode 17: Harpy/Chimera,Delicious in Dungeon,,Harpy/Chimera,series,,,,,imdb,
Delicious in Dungeon: Episode 1: Hot Pot/Tart,Delicious in Dungeon,,Hot Pot/Tart,series,,,,,imdb,
Delicious in Dungeon: Episode 20: Ice Golem/Barometz,Delicious in Dungeon,,Ice Golem/Barometz,series,,,,,imdb,
Delicious in Dungeon: Episode 7: Kelpie/Porridge/Broiled with Sauce,Delicious in Dungeon,,Kelpie/Porridge/Broiled with Sauce,series,,,,,imdb,
Delicious in Dungeon: Episode 3: Living Armor,Delicious in Dungeon,,Living Armor,series,,,,,imdb,
